"","depth","Therm_con","rsq","ste","test"
"97",12.179,1.45512566130252,0.959320229354973,0.0084172566109996,"2018_08_MLS"
"98",12.3055,1.45949266991835,0.95044549965891,0.00930549850659355,"2018_08_MLS"
"99",12.432,1.45864065143952,0.951219123565799,0.00923421156790658,"2018_08_MLS"
"100",12.5585,1.49921775993974,0.949260799952902,0.00917229336507217,"2018_08_MLS"
"101",12.685,1.57886135400856,0.959273644644135,0.00776222348883868,"2018_08_MLS"
"102",12.8115,1.69911987765982,0.95724931985301,0.00739773177813956,"2018_08_MLS"
"103",12.9379,1.77830926044596,0.962988011144106,0.00655717994037944,"2018_08_MLS"
"104",13.0644,1.85730152840169,0.954906902680037,0.00695914237073963,"2018_08_MLS"
"105",13.1909,1.99808840389274,0.959230437794919,0.00613699076197824,"2018_08_MLS"
"106",13.3174,2.08947269249664,0.957928055519958,0.00596563621723319,"2018_08_MLS"
"107",13.4439,2.24228228992749,0.960965520376342,0.00534618062993245,"2018_08_MLS"
"108",13.5704,2.57859708277402,0.956218452390227,0.00493568151279726,"2018_08_MLS"
"109",13.6969,3.20610585458198,0.953659739488536,0.00408948175128006,"2018_08_MLS"
"110",13.8234,4.55146194022377,0.88631056951637,0.00468036568176352,"2018_08_MLS"
"111",13.9499,6.97828491491887,0.783612131526404,0.00447899731698384,"2018_08_MLS"
"112",14.0764,10.0024154076609,0.755770082279331,0.00338036282428038,"2018_08_MLS"
"113",14.2029,9.91711537075896,0.779981815369052,0.00318540974658489,"2018_08_MLS"
"114",14.3293,8.67923174198697,0.721224435949358,0.00426063637893709,"2018_08_MLS"
"115",14.4558,7.23210052646788,0.84917035096901,0.00346613214004592,"2018_08_MLS"
"116",14.5823,6.58242913485999,0.877869591703524,0.003370344773142,"2018_08_MLS"
"117",14.7088,5.1952897149191,0.913063171062263,0.0035326884159734,"2018_08_MLS"
"118",14.8353,4.0908049554386,0.949258522320763,0.00336158540838282,"2018_08_MLS"
"119",14.9618,3.18110092475136,0.969164761180489,0.00333511661040683,"2018_08_MLS"
"120",15.0883,2.51477286189113,0.966375742396718,0.00441182419030508,"2018_08_MLS"
"121",15.2148,2.23566434879576,0.969110241343296,0.0047498258326963,"2018_08_MLS"
"122",15.3413,2.28907585897989,0.967148778938015,0.00478886450804949,"2018_08_MLS"
"123",15.4678,2.49176809340562,0.974084067808873,0.00389350913033951,"2018_08_MLS"
"124",15.5942,2.78145443928878,0.965341879328722,0.00405185225402313,"2018_08_MLS"
"125",15.7207,3.0474140689548,0.9489253554798,0.00452812912693536,"2018_08_MLS"
"126",15.8472,3.26650275464708,0.953094630403613,0.00403946511142998,"2018_08_MLS"
"127",15.9737,3.34871630527909,0.966072265977854,0.00332857145019932,"2018_08_MLS"
