"","Depth","2018_08","2019_05","2021_08","2019_10","2020_02","2021_02"
"179",22.6777,-7.7485580212918,6.36382277075376,4.31526524852426,4.72289577265391,4.87685131658775,5.74737926314025
"180",22.8042,-8.93364223939892,5.80394757115969,4.01945808490727,4.62950389992813,4.49786491875899,5.43844863080834
"181",22.9307,-9.43754071383249,5.05269699596231,3.76858634085624,4.43829058119146,4.20649661232852,5.12757152497944
"182",23.0572,-10.0873273068406,4.71373736414707,3.58941296732093,4.25023634375099,3.98617859239826,4.8790312433255
"183",23.1837,-9.43018492870038,4.7074842640895,3.4798472782144,4.08716554501218,3.91950681702471,4.76529434394992
"184",23.3102,-9.67464604847751,4.62327961090982,3.44243626909461,3.93393732424899,3.86642860327298,4.67760654946129
"185",23.4367,-7.79285394674196,4.44186847391718,3.42010859914643,3.86664238042669,3.84407604298085,4.64879778844135
"186",23.5631,-6.84928986839922,4.4952705254432,3.37119116543519,3.80127710298827,3.81166257064685,4.61559700052166
"187",23.6896,-6.9373864143536,4.70293300842757,3.2945886718023,3.75427047567694,3.75531159357266,4.57189564539718
"188",23.8161,-6.88283419652574,4.40152867139137,3.34916981443784,3.708765193703,3.72614294600933,4.54423499381855
"189",23.9426,-6.03027628482438,4.26594061260473,3.3030049846408,3.67984620307551,3.76451826874571,4.55643306014174
"190",24.0691,-6.22284367283711,4.63547149891512,3.25716112235359,3.65368998789832,3.81086336774896,4.58157386526465
"191",24.1956,-6.25633999812204,4.80874387258779,3.40944648196286,3.66235068484749,3.87796167332747,4.64041741472642
"192",24.3221,-7.03750719934929,4.91188679319043,3.40387136838912,3.67277283764132,3.96200484765334,4.705144314243
"193",24.4486,-6.77779021844531,4.98657631351514,3.46067640290202,3.70894269068284,4.09233400563724,4.78594195756715
"194",24.5751,-6.46956824053717,4.91854058355026,3.50732500550841,3.74432787510553,4.19769622859555,4.85604137142924
"195",24.7016,-6.43302334129377,4.89456193873437,3.39240850631527,3.76611213680162,4.23144076025723,4.89545289772127
"196",24.828,-6.42879611873829,4.84633984235958,3.52132966896393,3.78755695784151,4.23120888301329,4.9224263118813
"197",24.9545,-6.33354631877077,4.85098533750378,3.6285350907301,3.8020625022451,4.12818139959868,4.91185439766154
"198",25.081,-7.94932549722348,4.97231448671228,3.52070015413067,3.81559666566704,4.03637249899924,4.89872054984761
"199",25.2075,-8.12943551929779,4.86400706672981,3.43699975336107,3.80217500684856,3.98033676148262,4.87741735749329
"200",25.334,-6.84204553926542,4.5608406380948,3.54544097553117,3.7881114217528,3.91043935859697,4.84967323948328
"201",25.4605,-6.34101524454046,4.56784289958329,3.37707694101622,3.74931361478581,3.79393808076367,4.80027428521704
"202",25.587,-6.78176506413799,4.74077433136528,3.18416733100185,3.71001879158308,3.67513636376504,4.75436076144801
"203",25.7135,-5.8786496785207,4.63113645351693,3.14066371956134,3.63978470770634,3.54816726023337,4.72082176969601
"204",25.84,-4.93024585376857,4.3659898124485,3.16396290392833,3.56991943551205,3.49548373901547,4.73291771615334
"205",25.9665,-4.3516842155558,4.20506748425031,3.18860441903556,3.55800369892305,3.72179005513388,4.91640202077276
"206",26.093,-4.44933616030695,4.44754892762348,3.29997004307831,3.54608796233404,4.03553049742339,5.14753965508643
"207",26.2194,-4.79575487268403,4.97719650394535,3.45684022843196,3.63827925894941,4.69676317306454,5.56801989209058
"208",26.3459,-5.30566027911657,5.45405402443607,3.65874551390763,3.73087422177861,5.33775775114834,5.98464734160644
"209",26.4724,-5.27277515495117,5.71818992528252,3.94809577832194,3.92909743845919,5.89053866090712,6.38349098778069
"210",26.5989,-5.3912937130042,6.10550925485758,4.15090239647665,4.12875950154639,6.34273086925397,6.74062249860522
"211",26.7254,-5.09526805221724,5.96575917727296,4.5303281224949,4.37237135736149,6.33985803540544,6.9090475805114
"212",26.8519,-5.18673469075484,5.99571091810224,4.80809166918899,4.6170143976338,6.2772545723746,7.03268684972708
"213",26.9784,-5.47730672938635,6.53978486516136,4.48997164633744,4.73848727710386,5.92618244859236,6.94003334613336
"214",27.1049,-5.30554841276081,6.3783773323577,4.56352600776946,4.85583435870392,5.6020833917165,6.84498825342755
"215",27.2314,-4.5820198340863,5.96488991300709,4.54592111880304,4.86536219500279,5.41745482713711,6.73757689506897
"216",27.3579,-4.45703825532122,6.08739878529816,4.28031235560925,4.87017516331408,5.27987920250877,6.65597136468859
"217",27.4843,-4.33482352809627,6.1590729263094,4.31140954467032,4.87508753768876,5.40355677640075,6.71765303340901
"218",27.6108,-4.27572285708584,6.62787213719161,4.39688873118131,4.88000939810889,5.569742299424,6.78953537425818
"219",27.7373,-3.98517717639926,6.89603823096393,4.6179005524358,4.93043179093485,5.99156649855882,6.92261095163025
"220",27.8638,-3.9563246519502,6.80538256859933,4.80570006761955,4.9838441092264,6.42297551538078,7.04797876551921
"221",27.9903,-4.14124161887747,6.76733254124756,4.95772156027811,5.07973008939796,6.91697110960027,7.12301671904527
"222",28.1168,-5.03686707397473,7.08678240052416,4.88979856241744,5.17886937133054,7.31897296852193,7.1702391512664
"223",28.2433,-5.90052180580395,7.13439722834137,4.97729276883532,5.17845047478468,7.06699372202516,7.01972175574924
"224",28.3698,-6.01183492796781,6.52166459668298,5.25758267218026,5.16929990652361,6.75526913617164,6.8297716924821
"225",28.4963,-5.36939607126156,5.79593354141567,5.21271603076653,5.01470310975325,5.97844367935357,6.33284926430017
"226",28.6228,-5.57116350236183,5.31397210129917,4.64690214676678,4.84570069174044,5.2018588245028,5.81975700242888
"227",28.7493,-7.32258064008097,4.92184751484701,3.79814238696938,4.4813208479094,4.42733913653797,5.16787366805732
"228",28.8757,-13.6827817684052,4.28059069035563,3.21496331574877,4.09563283089866,3.69517383066981,4.54398562584567
"229",29.0022,-20.9967015886809,3.68137041580741,2.80580497168279,3.74351103799059,3.36438333316132,4.18422129355741
"230",29.1287,-16.3117646706275,3.44539475683646,2.72961852321125,3.39557052272624,3.06382639404865,3.85415192644735
"231",29.2552,-12.9743089814892,3.64920762485108,2.76633009092837,3.24075660764147,3.0904700215001,3.84545423855547
"232",29.3817,-15.826818222984,3.98264374888438,2.77657282794089,3.11212053513042,3.12371938908218,3.85014675045416
"233",29.5082,-12.5210958513876,4.04865834469274,2.87944123534309,3.11597837205483,3.23832366143103,4.0197501439841
"234",29.6347,-9.45734034415564,4.07728201850653,2.96249794883296,3.13943376545654,3.35219399051009,4.19027747373405
"235",29.7612,-7.12704505000035,4.17679730866025,3.05427963042788,3.22215906650642,3.45561226001215,4.37396254579786
"236",29.8877,-6.21464579372816,4.40145156463102,3.06383524997084,3.31440017841724,3.55991347873968,4.55280456958634
"237",30.0142,-5.87953024650838,4.46825905423515,3.10464618994196,3.38447140836754,3.67906316754061,4.65020152801229
"238",30.1406,-6.17517063125782,4.41712807043496,3.06431104263113,3.45064449034571,3.80070162405818,4.7441691276511
"239",30.2671,-6.65069202536876,4.28096532237518,3.11448971337287,3.47985091407434,3.9761864999342,4.76844984629579
"240",30.3936,-8.0521548512147,4.2707165509877,3.04644602401319,3.50210541097266,4.14577075590471,4.78991217665358
"241",30.5201,-10.6791854161813,4.31067137718893,2.97470315074876,3.48260325148189,4.15898858437941,4.73668721740854
"242",30.6466,-13.0643013200308,4.26418849670983,3.03469086928111,3.45469424379122,4.16734046803523,4.68198251621968
"243",30.7731,-14.7908863326136,4.12209821019182,3.06782822413842,3.41917446406992,3.99951652604306,4.57370245230016
"244",30.8996,-19.7538281629286,4.11676257053713,2.98234283277954,3.38201701582329,3.83182025135357,4.4652914547095
"245",31.0261,-15.3041295960056,4.06996623083563,2.97668098185035,3.3488231090506,3.67133717926591,4.34948270469926
"246",31.1526,-14.7616954189722,3.96926482835003,3.00647064545897,3.31653823608534,3.51123783394955,4.23376987917196
"247",31.2791,-17.9841941174466,3.95948334666679,2.93531392761249,3.26811637237114,3.39929619843188,4.13009557625415
"248",31.4056,-18.3773962767827,3.82823662294216,2.83494857506568,3.21575943126684,3.2873545629142,4.02642127333634
"249",31.532,-13.3804646087122,3.52821612199247,2.84319397911229,3.15766163026164,3.24458874259142,3.95253127160281
"250",31.6585,-15.53588527295,3.52535439113687,2.77697137296008,3.098019286054,3.20189866379801,3.87862992169228
"251",31.785,-17.9384633135301,3.64333627033648,2.73710436090032,3.05034235489741,3.16016468260317,3.81668823539949
